u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
369918518,12535657171,0,469044544,secondary,,,성서동로,False,,False,145.2641057761494,"LINESTRING (128.5155799 35.8524042, 128.5157697 35.8511069)",,,
369918518,369918530,0,32836585,tertiary,,,새동네로,False,,False,600.5520551602419,"LINESTRING (128.5155799 35.8524042, 128.5162052 35.8523934, 128.518057 35.8523613, 128.5208344 35.8523178, 128.5209954 35.8523613, 128.5210752 35.8524536, 128.5212353 35.8527226, 128.5214943 35.8532763)",,,
369918518,4634586771,0,469044544,secondary,,,성서동로,False,,True,150.71563035925914,"LINESTRING (128.5155799 35.8524042, 128.5154239 35.8536603, 128.5154124 35.8537528)",,,
369918518,6240819868,0,720714971,tertiary,,,성서동로,False,,True,286.95416980839366,"LINESTRING (128.5155799 35.8524042, 128.5141825 35.8524396, 128.5136032 35.8525439, 128.5129595 35.8526048, 128.5124154 35.8526175)",,,
369918520,365208094,0,41962786,primary,4,60,달구벌대로,True,30,False,55.08875286738482,"LINESTRING (128.5099031 35.8513885, 128.5093038 35.8514859)",,,
369918520,3141943406,0,308904282,tertiary_link,,,,True,,False,39.88405694360436,"LINESTRING (128.5099031 35.8513885, 128.5097255 35.8515221, 128.509656 35.8516743)",,,
369918521,4636773318,0,469022213,residential,,,이곡동로,False,,False,110.60125454179261,"LINESTRING (128.5096977 35.854066, 128.5109241 35.8540301)",,,
369918521,4634579637,0,469022213,residential,,,이곡동로,False,,True,137.3428470312917,"LINESTRING (128.5096977 35.854066, 128.5081742 35.8540949)",,,
369918521,369918522,0,469044541,tertiary,,,달구벌대로259길,False,,False,153.96060206109524,"LINESTRING (128.5096977 35.854066, 128.5096622 35.8526817)",,,
369918521,4634579635,0,469044541,tertiary,,,달구벌대로259길,False,,True,67.40703875045688,"LINESTRING (128.5096977 35.854066, 128.5096946 35.8546722)",,,
369918522,3141943406,0,469044541,tertiary,,,달구벌대로259길,False,,False,112.01932105642037,"LINESTRING (128.5096622 35.8526817, 128.509656 35.8516743)",,,
