osmid,y,x,street_count,highway,junction,ref,railway,geometry,convenience_store_count,cctv_count,police_count,lighting_count,population,safety_score
436869704,35.8396449,128.5586285,3,,,,,POINT (128.5586285 35.8396449),0.0,0.0,0.0,0.056338028169014086,0.020946173600120046,0.014409531673820825
436869712,35.8434397,128.5488433,4,,,,,POINT (128.5488433 35.8434397),0.0,0.07142857142857142,0.0,0.07746478873239437,0.058600020951836265,0.04214010374639717
436869714,35.84354,128.53956,4,,,,,POINT (128.53956 35.84354),0.5,0.07142857142857142,0.0,0.09154929577464789,0.14333887330084855,0.13266783300719973
436872064,35.8266747,128.5562602,4,,,,,POINT (128.5562602 35.8266747),0.0,0.14285714285714285,0.0,0.04225352112676056,0.010743478740964521,0.045776511750782505
436872066,35.8275989,128.5546395,4,,,,,POINT (128.5546395 35.8275989),0.0,0.0,0.0,0.056338028169014086,0.008740313314891942,0.01257865263103661
436872067,35.8281804,128.5535521,4,,,,,POINT (128.5535521 35.8281804),0.5,0.21428571428571427,0.0,0.04929577464788733,0.01660291457030332,0.14092102068655152
436872068,35.828843,128.5525444,4,,,,,POINT (128.5525444 35.828843),0.5,0.21428571428571427,0.0,0.04929577464788733,0.02984504135156332,0.1429073397037405
436872069,35.8294643,128.5514488,4,,,,,POINT (128.5514488 35.8294643),0.0,0.14285714285714285,0.0,0.056338028169014086,0.27023904912639335,0.08751774871704754
436872071,35.8298856,128.5507551,4,,,,,POINT (128.5507551 35.8298856),0.0,0.0,0.0,0.035211267605633804,0.27023904912639335,0.04757811089008576
436872072,35.8305668,128.5495987,3,,,,,POINT (128.5495987 35.8305668),0.0,0.14285714285714285,0.0,0.06338028169014084,0.09170392224037419,0.062145930388370005
436872073,35.8306773,128.5493881,3,,,,,POINT (128.5493881 35.8306773),0.0,0.07142857142857142,0.0,0.06338028169014084,0.05595555945649804,0.03892653311364573
436872075,35.8307087,128.5473382,4,,,,,POINT (128.5473382 35.8307087),0.0,0.07142857142857142,0.0,0.07746478873239437,0.03741035303844096,0.038961653559387875
436872077,35.8307637,128.5446238,3,,,,,POINT (128.5446238 35.8307637),0.0,0.0,0.0,0.06338028169014084,0.021445903208179143,0.01589294181925504
436873008,35.8278904,128.5599551,3,,,,,POINT (128.5599551 35.8278904),0.0,0.07142857142857142,0.0,0.07042253521126761,0.01711113816603481,0.0345083206243016
436873011,35.83088,128.55595,3,,,,,POINT (128.55595 35.83088),0.5,0.0,0.0,0.056338028169014086,0.03965701277778879,0.09221615755047113
436873014,35.83258,128.5553,3,,,,,POINT (128.5553 35.83258),0.0,0.07142857142857142,0.0,0.035211267605633804,0.0791370674790694,0.03676995650013003
436873542,35.819319,128.5214973,4,,,,,POINT (128.5214973 35.819319),0.5,0.0,0.0,0.056338028169014086,0.13437063798341406,0.10642320133131491
436873725,35.81097,128.52987,4,,,,,POINT (128.52987 35.81097),0.5,0.2857142857142857,0.0,0.056338028169014086,0.010887876531395193,0.15932935854208352
436873726,35.81191,128.53235,3,,,,,POINT (128.53235 35.81191),0.0,0.2857142857142857,0.0,0.07042253521126761,0.01699930066168164,0.0880629735700772
436873727,35.81168,128.53485,4,,,,,POINT (128.53485 35.81168),0.5,0.0,0.0,0.06338028169014084,0.0385018304543434,0.09345133090617967
436873728,35.8115122,128.5363324,4,,,,,POINT (128.5363324 35.8115122),0.0,0.0,0.0,0.04929577464788733,0.2952694151323222,0.05414956719942579
436877362,35.8543331,128.5702587,3,,,,,POINT (128.5702587 35.8543331),0.0,0.14285714285714285,0.0,0.056338028169014086,0.013767338352336272,0.04904699210093897
436877363,35.8557546,128.5674081,3,,,,,POINT (128.5674081 35.8557546),0.5,0.07142857142857142,0.0,0.06338028169014084,0.017391439759223762,0.1081419151590546
436878022,35.85882,128.5306255,4,,yes,,,POINT (128.5306255 35.85882),0.0,0.0,0.0,0.056338028169014086,0.4495131529399107,0.07869457857478941
436879301,35.8333464,128.5446368,3,,,,,POINT (128.5446368 35.8333464),0.0,0.0,0.0,0.04929577464788733,0.06773955168733066,0.020020087682677067
436879302,35.8332544,128.5466619,3,,,,,POINT (128.5466619 35.8332544),0.0,0.0,1.0,0.04929577464788733,0.01948662338508059,0.26278214843733955
436879303,35.8332403,128.5472951,4,,,,,POINT (128.5472951 35.8332403),0.0,0.14285714285714285,0.0,0.04929577464788733,0.01948662338508059,0.048496434151625266
436879304,35.8332183,128.5494441,3,,,,,POINT (128.5494441 35.8332183),0.0,0.0,0.0,0.056338028169014086,0.013543663343629934,0.013299155135347308
